"Time (ns)","RMSD (Å)"
10.47,1.87349
10.48,1.90863
10.49,1.96474
10.5,1.91607
10.51,1.8272
10.52,1.82675
10.53,1.91186
10.54,1.93304
10.55,1.85683
10.56,1.82002
10.57,1.85745
10.58,1.82496
10.59,1.82501
10.6,1.75617
10.61,1.76516
10.62,1.73192
10.63,1.79171
10.64,1.82007
10.65,1.84124
10.66,1.85223
10.67,1.84809
10.68,1.90453
10.69,1.92366
10.7,1.90572
10.71,2.0111
10.72,1.99909
10.73,1.8658
10.74,1.91088
10.75,1.94619
10.76,1.88992
10.77,1.7521
10.78,1.76094
10.79,1.76927
10.8,1.73863
10.81,1.68632
10.82,1.76208
10.83,1.73736
10.84,1.73353
10.85,1.82397
10.86,1.86646
10.87,1.89924
10.88,1.82587
10.89,1.85857
10.9,1.76009
10.91,1.79394
10.92,1.86732
10.93,1.8571
10.94,1.77996
10.95,1.78151
10.96,1.87235
10.97,1.8178
10.98,1.82821
10.99,1.77793
11,1.77029
11.01,1.74161
11.02,1.82496
11.03,1.80876
11.04,1.76735
11.05,1.74787
11.06,1.88606
11.07,1.85347
11.08,1.80573
11.09,1.86945
11.1,1.9578
11.11,1.82126
11.12,1.83299
11.13,1.90135
11.14,1.83303
11.15,1.8314
11.16,1.78079
11.17,1.84381
11.18,1.85467
11.19,1.87006
11.2,1.83242
11.21,1.81524
11.22,1.80048
11.23,1.81504
11.24,1.79446
11.25,1.85929
11.26,1.86806
11.27,1.84152
11.28,1.76658
11.29,1.75507
11.3,1.67035
11.31,1.68003
11.32,1.72693
11.33,1.78724
11.34,1.72195
11.35,1.74951
11.36,1.75767
11.37,1.69666
11.38,1.67115
11.39,1.6627
11.4,1.7049
11.41,1.68169
11.42,1.8706
11.43,1.77285
11.44,1.8015
11.45,1.8283
11.46,1.88447
11.47,1.89034
11.48,1.85874
11.49,1.84942
11.5,1.83998
11.51,1.90269
11.52,2.00284
11.53,1.99938
11.54,2.01042
11.55,1.97706
11.56,1.95601
11.57,1.87899
11.58,1.87637
11.59,1.986
11.6,1.99877
11.61,1.93201
11.62,1.95823
11.63,1.91887
11.64,1.85691
11.65,1.93773
11.66,1.81624
11.67,1.75198
11.68,1.75605
11.69,1.83758
11.7,1.77843
11.71,1.82873
11.72,1.85027
11.73,1.73497
11.74,1.77927
11.75,1.77165
11.76,1.86169
11.77,1.79176
11.78,1.85832
11.79,1.83828
11.8,1.83257
11.81,1.78161
11.82,1.67951
11.83,1.71529
11.84,1.71756
11.85,1.77973
11.86,1.762
11.87,1.71008
11.88,1.70113
11.89,1.72416
11.9,1.71636
11.91,1.6492
11.92,1.66302
11.93,1.78173
11.94,1.74446
11.95,1.68023
11.96,1.77916
11.97,1.81116
11.98,1.82132
11.99,1.81681
12,1.78329
12.01,1.78258
12.02,1.80622
12.03,1.65976
12.04,1.67473
12.05,1.77187
12.06,1.89919
12.07,1.76255
12.08,1.74758
12.09,1.73454
12.1,1.94172
12.11,1.79564
12.12,1.84206
12.13,1.77861
12.14,1.83438
12.15,1.73175
12.16,1.83751
12.17,1.79608
12.18,1.76968
12.19,1.74094
12.2,1.79749
12.21,1.84149
12.22,1.7682
12.23,1.75732
12.24,1.69269
12.25,1.80363
12.26,1.76215
12.27,1.83582
12.28,1.87974
12.29,1.80314
12.3,1.79759
12.31,1.86954
12.32,1.81753
12.33,1.91591
12.34,1.81814
12.35,1.86256
12.36,1.94669
12.37,1.88836
12.38,1.84743
12.39,1.86238
12.4,1.77565
12.41,1.83006
12.42,1.74155
12.43,1.81668
12.44,1.88504
12.45,1.94639
12.46,1.91606
12.47,1.83895
12.48,1.9071
12.49,1.91478
12.5,2.00237
12.51,1.89159
12.52,1.93619
12.53,1.89254
12.54,1.88502
12.55,1.9634
12.56,1.88958
12.57,1.82799
12.58,1.79996
12.59,1.91919
12.6,1.77796
12.61,1.85853
12.62,1.82716
12.63,1.83275
12.64,1.95678
12.65,1.8815
12.66,1.9026
12.67,1.88551
12.68,1.90563
12.69,1.96688
12.7,1.95178
12.71,1.97922
12.72,2.06434
12.73,1.96153
12.74,2.04613
12.75,2.01466
12.76,2.09542
12.77,2.01956
12.78,2.05039
12.79,1.92852
12.8,1.99431
12.81,2.03967
12.82,1.96519
12.83,1.81487
12.84,1.90438
12.85,1.93979
12.86,1.94877
12.87,1.96779
12.88,1.88314
12.89,1.81542
12.9,1.85514
12.91,1.91902
12.92,1.92283
12.93,1.89283
12.94,1.91931
12.95,1.90624
12.96,1.93615
12.97,2.00052
12.98,2.00735
12.99,1.9769
13,1.9056
13.01,1.93486
13.02,1.96739
13.03,1.87489
13.04,1.8338
13.05,1.91814
13.06,1.96179
13.07,1.9685
13.08,1.95708
13.09,1.91363
13.1,1.90472
13.11,1.90242
13.12,2.03885
13.13,1.97823
13.14,1.83892
13.15,1.87431
13.16,1.85293
13.17,1.93927
13.18,1.9274
13.19,1.7868
13.2,1.88003
13.21,1.82522
13.22,1.83777
13.23,1.82498
13.24,1.71165
13.25,1.68188
13.26,1.80011
13.27,1.84447
13.28,1.79573
13.29,1.84397
13.3,1.84459
13.31,1.80259
13.32,1.86973
13.33,1.83814
13.34,1.85837
13.35,1.8348
13.36,1.75056
13.37,1.79748
13.38,1.90399
13.39,1.89711
13.4,1.86421
13.41,1.78644
13.42,1.86514
13.43,1.76133
13.44,1.84009
13.45,1.79291
13.46,1.71714
13.47,1.78818
13.48,1.67388
13.49,1.68606
13.5,1.75096
13.51,1.70065
13.52,1.65571
13.53,1.60173
13.54,1.69124
13.55,1.63173
13.56,1.70929
13.57,1.72149
13.58,1.71301
13.59,1.78167
13.6,1.72409
13.61,1.80271
13.62,1.78746
13.63,1.74554
13.64,1.71629
13.65,1.68831
13.66,1.7308
13.67,1.71745
13.68,1.72541
13.69,1.76952
13.7,1.71535
13.71,1.67583
13.72,1.71232
13.73,1.76607
13.74,1.77244
13.75,1.81298
13.76,1.76964
13.77,1.83642
13.78,1.6961
13.79,1.66058
13.8,1.76298
13.81,1.66521
13.82,1.70496
13.83,1.78278
13.84,1.84269
13.85,1.893
13.86,1.87667
13.87,1.83874
13.88,1.91298
13.89,1.91871
13.9,1.88631
13.91,1.83861
13.92,1.77652
13.93,1.78721
13.94,1.7784
13.95,1.73359
13.96,1.79333
13.97,1.78772
13.98,1.78517
13.99,1.84315
14,1.8766
14.01,1.78599
14.02,1.74166
14.03,1.79585
14.04,1.85199
14.05,1.8905
14.06,1.83546
14.07,1.84431
14.08,1.7932
14.09,1.7673
14.1,1.78366
14.11,1.80321
14.12,1.784
14.13,1.77916
14.14,1.86316
14.15,1.77683
14.16,1.70096
14.17,1.73612
14.18,1.69624
14.19,1.74111
14.2,1.75748
14.21,1.73704
14.22,1.6893
14.23,1.69485
14.24,1.71343
14.25,1.70779
14.26,1.69089
14.27,1.67428
14.28,1.63754
14.29,1.59102
14.3,1.6397
14.31,1.63559
14.32,1.67614
14.33,1.57726
14.34,1.57131
14.35,1.58007
14.36,1.6124
14.37,1.54687
14.38,1.67938
14.39,1.64595
14.4,1.66959
14.41,1.78391
14.42,1.72965
14.43,1.78031
14.44,1.81062
14.45,1.7465
14.46,1.7449
14.47,1.75679
14.48,1.71511
14.49,1.68744
14.5,1.6872
14.51,1.60355
14.52,1.62021
14.53,1.68308
14.54,1.76085
14.55,1.91102
14.56,1.94125
14.57,1.7844
14.58,1.64497
14.59,1.74255
14.6,1.75431
14.61,1.80999
14.62,1.8109
14.63,1.69824
14.64,1.7319
14.65,1.81302
14.66,1.72371
14.67,1.65897
14.68,1.93464
14.69,1.74032
14.7,1.72658
14.71,1.66881
14.72,1.71741
14.73,1.74616
14.74,1.77062
14.75,1.83694
14.76,1.79001
14.77,1.75639
14.78,1.7869
14.79,1.87041
14.8,1.79899
14.81,1.88092
14.82,1.7721
14.83,1.7419
14.84,1.76941
14.85,1.85609
14.86,1.80763
14.87,1.84672
14.88,1.78038
14.89,1.85557
14.9,1.80126
14.91,1.78056
14.92,1.77159
14.93,1.74047
14.94,1.73773
14.95,1.67363
14.96,1.77867
14.97,1.87013
14.98,1.80978
14.99,1.80708
15,1.73108
15.01,1.72384
15.02,1.73665
15.03,1.68944
15.04,1.59821
15.05,1.6161
15.06,1.66332
15.07,1.71062
15.08,1.66903
15.09,1.6883
15.1,1.7311
15.11,1.70683
15.12,1.72509
15.13,1.74714
15.14,1.70125
15.15,1.71758
15.16,1.72056
15.17,1.70415
15.18,1.74832
15.19,1.66981
15.2,1.69163
15.21,1.70734
15.22,1.82175
15.23,1.8201
15.24,1.81208
15.25,1.78497
15.26,1.81224
15.27,1.7773
15.28,1.7346
15.29,1.78147
15.3,1.84071
15.31,1.84159
15.32,1.85356
15.33,1.80861
15.34,1.72902
15.35,1.92688
15.36,1.82866
15.37,1.7707
15.38,1.78275
15.39,1.80819
15.4,1.9186
15.41,1.86381
