"Time (ns)","RMSD (Å)"
8.69,3.48656
8.7,3.56303
8.71,3.40455
8.72,3.38584
8.73,3.48218
8.74,3.38408
8.75,3.42654
8.76,3.42845
8.77,3.47245
8.78,3.54399
8.79,3.57724
8.8,3.3946
8.81,3.32864
8.82,3.37081
8.83,3.18296
8.84,3.31636
8.85,3.35147
8.86,3.43354
8.87,3.33021
8.88,3.31654
8.89,3.33973
8.9,3.34663
8.91,3.25102
8.92,3.21576
8.93,3.35897
8.94,3.44792
8.95,3.29229
8.96,3.28647
8.97,3.37329
8.98,3.47156
8.99,3.3038
9,3.35557
9.01,3.37229
9.02,3.32151
9.03,3.30369
9.04,3.35787
9.05,3.40418
9.06,3.36651
9.07,3.25285
9.08,3.25992
9.09,3.30812
9.1,3.08516
9.11,3.12999
9.12,3.24643
9.13,3.23549
9.14,3.26197
9.15,3.40864
9.16,3.38612
9.17,3.2817
9.18,3.46177
9.19,3.43092
9.2,3.45624
9.21,3.44444
9.22,3.41628
9.23,3.47773
9.24,3.51064
9.25,3.55953
9.26,3.5219
9.27,3.49514
9.28,3.49827
9.29,3.56944
9.3,3.54543
9.31,3.50591
9.32,3.34828
9.33,3.36139
9.34,3.37357
9.35,3.51971
9.36,3.39858
9.37,3.48508
9.38,3.49929
9.39,3.49567
9.4,3.46261
9.41,3.48479
9.42,3.48594
9.43,3.70062
9.44,3.62408
9.45,3.65143
9.46,3.6602
9.47,3.51672
9.48,3.62681
9.49,3.61269
9.5,3.43421
9.51,3.44618
9.52,3.4123
9.53,3.46277
9.54,3.50499
9.55,3.61584
9.56,3.53922
9.57,3.41657
9.58,3.44427
9.59,3.52055
9.6,3.54735
9.61,3.54693
9.62,3.34644
9.63,3.37584
9.64,3.4116
9.65,3.40082
9.66,3.37725
9.67,3.46312
9.68,3.48926
9.69,3.60153
9.7,3.54529
9.71,3.35971
9.72,3.43659
9.73,3.28729
9.74,3.39946
9.75,3.29751
9.76,3.2944
9.77,3.28574
9.78,3.3972
9.79,3.35854
9.8,3.32162
9.81,3.39286
9.82,3.29169
9.83,3.37986
9.84,3.22565
9.85,3.37039
9.86,3.48111
9.87,3.50633
9.88,3.51349
9.89,3.48592
9.9,3.41457
9.91,3.41109
9.92,3.31705
9.93,3.33625
9.94,3.46146
9.95,3.46933
9.96,3.39927
9.97,3.48095
9.98,3.40153
9.99,3.46188
10,3.38275
10.01,3.21599
10.02,3.18916
10.03,3.23248
10.04,3.15714
10.05,3.2994
10.06,3.2242
10.07,3.40549
10.08,3.35945
10.09,3.31802
10.1,3.30152
10.11,3.24618
10.12,3.33617
10.13,3.26461
10.14,3.22871
10.15,3.38828
10.16,3.29091
10.17,3.42394
10.18,3.24294
10.19,3.14922
10.2,3.11278
10.21,3.18807
10.22,3.07212
10.23,3.10812
10.24,3.23901
10.25,3.29406
10.26,3.36802
10.27,3.30796
10.28,3.21266
10.29,3.17772
10.3,3.08696
10.31,3.1247
10.32,3.22395
10.33,3.3361
10.34,3.44548
10.35,3.41111
10.36,3.45706
10.37,3.35506
10.38,3.27541
10.39,3.38161
10.4,3.31359
10.41,3.43579
10.42,3.33795
10.43,3.29132
10.44,3.38781
10.45,3.30786
10.46,3.29526
10.47,3.32276
10.48,3.38391
10.49,3.54816
10.5,3.49531
10.51,3.40535
10.52,3.39878
10.53,3.31718
10.54,3.16702
10.55,3.2937
10.56,3.44559
10.57,3.34825
10.58,3.35707
10.59,3.39907
10.6,3.41088
10.61,3.4804
10.62,3.47711
10.63,3.46363
10.64,3.33374
10.65,3.33859
10.66,3.33758
10.67,3.30806
10.68,3.30568
10.69,3.35369
10.7,3.44138
10.71,3.30093
10.72,3.39144
10.73,3.41677
10.74,3.39073
10.75,3.46263
10.76,3.34821
10.77,3.37271
10.78,3.4383
10.79,3.44161
10.8,3.49967
10.81,3.4657
10.82,3.49713
10.83,3.44964
10.84,3.56817
10.85,3.3533
10.86,3.36527
10.87,3.33297
10.88,3.31902
10.89,3.49541
10.9,3.30109
10.91,3.48474
10.92,3.351
10.93,3.40059
10.94,3.38598
10.95,3.4377
10.96,3.37903
10.97,3.41613
10.98,3.26585
10.99,3.37723
11,3.38236
11.01,3.24488
11.02,3.3599
11.03,3.34778
11.04,3.37752
11.05,3.37227
11.06,3.38279
11.07,3.44056
11.08,3.38773
11.09,3.3922
11.1,3.37524
11.11,3.30928
11.12,3.30687
11.13,3.39897
11.14,3.27146
11.15,3.38743
11.16,3.35467
11.17,3.30919
11.18,3.28499
11.19,3.44511
11.2,3.45579
11.21,3.38397
11.22,3.33415
11.23,3.47175
11.24,3.37808
11.25,3.49015
11.26,3.46648
11.27,3.47606
11.28,3.45458
11.29,3.61972
11.3,3.62144
11.31,3.52998
11.32,3.57115
11.33,3.62329
11.34,3.65551
11.35,3.52611
11.36,3.40336
11.37,3.37332
11.38,3.42992
11.39,3.26586
11.4,3.27947
11.41,3.16924
11.42,3.13259
11.43,3.22902
11.44,3.35881
11.45,3.21277
11.46,3.23094
11.47,3.36698
11.48,3.34625
11.49,3.3856
11.5,3.27993
11.51,3.41027
11.52,3.38025
11.53,3.42184
11.54,3.3568
11.55,3.38433
11.56,3.41188
11.57,3.4017
11.58,3.3455
11.59,3.39185
11.6,3.56942
11.61,3.3595
11.62,3.34244
11.63,3.28434
11.64,3.34706
11.65,3.42485
11.66,3.35619
11.67,3.40821
11.68,3.46236
11.69,3.27224
11.7,3.40452
11.71,3.44009
11.72,3.46867
11.73,3.4256
11.74,3.31285
11.75,3.30509
11.76,3.39508
11.77,3.39268
11.78,3.32907
11.79,3.30134
11.8,3.33487
11.81,3.40925
11.82,3.40143
11.83,3.43467
11.84,3.36511
11.85,3.36728
11.86,3.32059
11.87,3.2949
11.88,3.35153
11.89,3.50422
11.9,3.53503
11.91,3.50084
11.92,3.49386
11.93,3.37237
11.94,3.29425
11.95,3.33181
11.96,3.26138
11.97,3.30066
11.98,3.40972
11.99,3.33035
12,3.36931
12.01,3.38365
12.02,3.3537
12.03,3.35435
12.04,3.38278
12.05,3.34069
12.06,3.43748
12.07,3.42856
12.08,3.51666
12.09,3.35948
12.1,3.40377
12.11,3.39967
12.12,3.42276
12.13,3.36848
12.14,3.39817
12.15,3.38585
12.16,3.37211
12.17,3.3651
12.18,3.44318
12.19,3.51841
12.2,3.36657
12.21,3.39337
12.22,3.34179
12.23,3.48568
12.24,3.40302
12.25,3.39359
12.26,3.70006
12.27,3.43457
12.28,3.47761
12.29,3.5532
12.3,3.65655
12.31,3.6363
12.32,3.54174
12.33,3.70297
12.34,3.56938
12.35,3.60177
12.36,3.61679
12.37,3.58732
12.38,3.60692
12.39,3.52187
12.4,3.64553
12.41,3.56204
12.42,3.65812
12.43,3.6825
12.44,3.71755
12.45,3.55154
12.46,3.64708
12.47,3.74782
12.48,3.71672
12.49,3.70517
12.5,3.66023
12.51,3.7655
12.52,3.57694
12.53,3.52476
12.54,3.4808
12.55,3.50807
12.56,3.47615
12.57,3.52008
12.58,3.50795
12.59,3.54576
12.6,3.50855
12.61,3.48976
12.62,3.53316
12.63,3.50589
12.64,3.4936
12.65,3.49649
12.66,3.48213
12.67,3.43231
12.68,3.38858
12.69,3.40961
12.7,3.43561
12.71,3.35689
12.72,3.35802
12.73,3.45626
12.74,3.43135
12.75,3.37839
12.76,3.26993
12.77,3.37228
12.78,3.27319
12.79,3.40274
12.8,3.42509
12.81,3.38794
12.82,3.29886
12.83,3.22852
12.84,3.45078
12.85,3.44131
12.86,3.41098
12.87,3.49545
12.88,3.42217
12.89,3.39775
12.9,3.51337
12.91,3.41956
12.92,3.34339
12.93,3.45463
12.94,3.37848
12.95,3.36467
12.96,3.44576
12.97,3.57165
12.98,3.44599
12.99,3.47866
13,3.32825
13.01,3.41225
13.02,3.40536
13.03,3.44112
13.04,3.41293
13.05,3.48094
13.06,3.49009
13.07,3.48481
13.08,3.37846
13.09,3.43176
13.1,3.4997
13.11,3.4711
13.12,3.38105
13.13,3.44623
13.14,3.39796
13.15,3.41098
13.16,3.39392
13.17,3.46498
13.18,3.46736
13.19,3.43939
13.2,3.51191
13.21,3.45071
13.22,3.45798
13.23,3.39621
13.24,3.57148
13.25,3.60758
13.26,3.54627
13.27,3.60839
13.28,3.62064
13.29,3.52083
13.3,3.44736
13.31,3.5244
13.32,3.55993
13.33,3.45378
13.34,3.43027
13.35,3.40764
13.36,3.56279
13.37,3.43411
13.38,3.35048
13.39,3.31407
13.4,3.25315
13.41,3.41034
13.42,3.32759
13.43,3.128
13.44,3.22397
13.45,3.21773
13.46,3.19372
13.47,3.20717
13.48,3.09339
13.49,3.087
13.5,3.20532
13.51,3.27476
13.52,3.26234
13.53,3.3093
13.54,3.31896
13.55,3.4584
13.56,3.38046
13.57,3.35481
13.58,3.37132
13.59,3.26905
13.6,3.44313
13.61,3.5354
13.62,3.38413
13.63,3.4715
13.64,3.49871
13.65,3.37076
13.66,3.40654
13.67,3.30974
13.68,3.39556
13.69,3.3834
13.7,3.27749
13.71,3.35743
13.72,3.38017
13.73,3.18994
13.74,3.4308
13.75,3.42218
13.76,3.52291
13.77,3.47543
13.78,3.31086
13.79,3.41914
13.8,3.38074
13.81,3.35652
13.82,3.40885
13.83,3.22215
13.84,3.34473
13.85,3.41081
13.86,3.38951
13.87,3.50092
13.88,3.42982
13.89,3.34641
13.9,3.34885
13.91,3.43513
13.92,3.49667
13.93,3.35358
13.94,3.3331
13.95,3.48204
13.96,3.34237
13.97,3.43091
13.98,3.54092
13.99,3.52572
14,3.24748
14.01,3.2593
14.02,3.10691
14.03,3.16482
14.04,3.14394
14.05,3.23651
14.06,3.35617
14.07,3.42947
14.08,3.55432
14.09,3.50133
14.1,3.60085
14.11,3.51292
14.12,3.50038
14.13,3.4895
14.14,3.45229
14.15,3.41554
14.16,3.49402
14.17,3.32622
14.18,3.32692
14.19,3.28019
14.2,3.35655
14.21,3.25683
14.22,3.30521
14.23,3.13671
14.24,3.14301
14.25,3.14574
14.26,3.19107
14.27,3.23905
14.28,3.28295
14.29,3.25545
14.3,3.31893
14.31,3.37784
14.32,3.42295
14.33,3.3855
14.34,3.27607
14.35,3.30881
14.36,3.30474
14.37,3.30481
14.38,3.41235
14.39,3.25913
14.4,3.33217
14.41,3.20748
14.42,3.27728
14.43,3.23273
14.44,3.24133
14.45,3.37879
14.46,3.23121
14.47,3.11207
14.48,3.11536
14.49,3.10432
14.5,3.19319
14.51,3.06215
14.52,3.07626
14.53,3.08638
14.54,3.12773
14.55,3.07786
14.56,2.92385
14.57,3.1715
14.58,3.12619
14.59,3.16042
14.6,3.14121
14.61,3.15382
14.62,3.17711
14.63,3.22426
14.64,3.10522
14.65,3.19682
14.66,3.03743
14.67,3.0976
14.68,3.04948
14.69,3.12839
14.7,3.08024
14.71,3.10007
14.72,3.11912
14.73,3.14688
14.74,2.964
14.75,3.16539
14.76,3.15974
14.77,3.19074
14.78,3.24162
14.79,3.14755
14.8,3.17174
14.81,3.20185
14.82,3.06113
14.83,3.1067
14.84,3.08864
14.85,3.16358
14.86,3.04466
14.87,3.26249
14.88,3.33946
14.89,3.24471
14.9,3.36448
14.91,3.3223
14.92,3.18965
14.93,3.16542
14.94,3.16622
14.95,3.12813
14.96,3.18408
14.97,3.13555
14.98,3.031
14.99,3.13446
15,3.12256
15.01,3.06007
15.02,3.07523
15.03,3.06559
15.04,2.94235
15.05,2.87692
15.06,2.97111
15.07,3.00773
15.08,3.17563
15.09,3.12612
15.1,3.23281
15.11,3.12617
15.12,3.30335
15.13,3.37668
15.14,3.38885
15.15,3.43877
15.16,3.24721
15.17,3.14155
15.18,3.19094
15.19,3.22045
15.2,3.08718
15.21,2.98078
15.22,2.9482
15.23,3.07364
15.24,3.24755
15.25,3.3258
15.26,3.3718
15.27,3.35966
15.28,3.25067
15.29,3.38379
15.3,3.52035
15.31,3.50396
15.32,3.30348
15.33,3.35832
15.34,3.39361
15.35,3.31549
15.36,3.33126
15.37,3.36853
15.38,3.368
15.39,3.3588
15.4,3.26554
15.41,3.12914
15.42,3.22835
15.43,3.15982
15.44,3.20159
15.45,3.12261
15.46,3.10278
15.47,3.17313
15.48,3.1643
15.49,3.10589
15.5,3.27054
15.51,3.28449
15.52,3.32201
