Time (ns),970RMSD (Å),239RMSD (Å),Substrate,14475 RMSD (Å)
4.13,2.38465,2.54496,2.11422,2.18907
4.14,2.36075,2.51177,2.11936,2.17635
4.15,2.38941,2.54064,2.19782,2.26408
4.16,2.38564,2.50898,2.05773,2.23785
4.17,2.30409,2.56254,2.09103,2.16137
4.18,2.35634,2.40429,2.06131,2.06174
4.19,2.39509,2.24168,2.09899,2.17314
4.2,2.37943,2.28361,1.96336,2.09693
4.21,2.37241,2.26764,2.07062,2.15383
4.22,2.29596,2.39084,2.01907,2.13564
4.23,2.26811,2.45202,1.98724,2.06089
4.24,2.35248,2.60583,2.1543,2.10582
4.25,2.35049,2.54642,2.06854,2.12593
4.26,2.30279,2.43284,2.10412,2.00268
4.27,2.38585,2.52978,2.1157,2.15315
4.28,2.33995,2.71313,2.06607,2.12156
4.29,2.27085,2.84968,2.09378,2.07415
4.3,2.32406,2.86784,2.09371,2.06738
4.31,2.33974,2.73837,2.11689,2.00662
4.32,2.25238,2.82005,2.10365,2.00917
4.33,2.34241,2.6204,2.02137,1.97076
4.34,2.35106,2.8331,2.09378,2.03801
4.35,2.32952,2.69089,2.05946,2.0291
4.36,2.4024,2.52901,2.10019,2.00529
4.37,2.31843,2.48496,2.06026,1.97828
4.38,2.34427,2.58275,2.18242,1.98111
4.39,2.41501,2.54755,2.1759,2.0628
4.4,2.36542,2.63262,2.08193,2.11441
4.41,2.36743,2.60853,2.08314,2.10753
4.42,2.38529,2.46864,2.09606,2.1283
4.43,2.34703,2.51241,2.1246,2.06139
4.44,2.34288,2.51902,2.14499,2.16581
4.45,2.34236,2.4815,2.1467,2.01269
4.46,2.31345,2.60945,2.06935,2.1672
4.47,2.34723,2.61048,2.06822,2.09045
4.48,2.3113,2.67132,1.95738,2.04586
4.49,2.36093,2.44363,2.10521,2.07969
4.5,2.32514,2.58277,2.08246,2.07382
4.51,2.30381,2.67116,1.95479,1.91368
4.52,2.3776,2.6939,1.87535,1.90107
4.53,2.37111,2.66068,1.99484,1.92662
4.54,2.36051,2.51399,2.05797,1.9534
4.55,2.37134,2.44784,2.03526,1.93222
4.56,2.35107,2.52123,2.15225,1.91294
4.57,2.44794,2.58442,2.05602,1.93592
4.58,2.31302,2.61072,2.0487,1.89744
4.59,2.39195,2.42741,2.08708,1.98538
4.6,2.4612,2.4459,2.04265,2.00809
4.61,2.48841,2.4274,2.11054,1.95158
4.62,2.42032,2.4747,2.11162,1.83256
4.63,2.38442,2.64601,2.15581,1.90344
4.64,2.34813,2.62212,2.35702,1.89058
4.65,2.41082,2.80907,2.18988,1.89637
4.66,2.43542,2.60367,2.15065,2.01991
4.67,2.37722,2.62217,2.08203,1.99888
4.68,2.40833,2.66691,1.99197,1.94031
4.69,2.40754,2.56944,2.0625,1.86707
4.7,2.46225,2.53683,2.10789,1.91095
4.71,2.40704,2.61567,2.01336,1.93176
4.72,2.42305,2.56693,1.96277,1.99555
4.73,2.45843,2.75611,1.96679,1.92152
4.74,2.54305,2.88698,1.9448,2.00159
4.75,2.4785,2.78719,2.0026,2.01071
4.76,2.43316,2.97702,1.91374,2.07943
4.77,2.47741,2.81596,1.94049,2.00883
4.78,2.43028,2.71169,2.05051,1.97847
