"Time (ns)","RMSD (Å)"
6.99,2.15238
7,2.26478
7.01,2.25317
7.02,2.25875
7.03,2.20257
7.04,2.1801
7.05,2.19667
7.06,2.21051
7.07,2.19655
7.08,2.2175
7.09,2.31577
7.1,2.36552
7.11,2.36461
7.12,2.29336
7.13,2.25903
7.14,2.22543
7.15,2.21894
7.16,2.18933
7.17,2.15744
7.18,2.17568
7.19,2.20116
7.2,2.08101
7.21,2.11334
7.22,2.19273
7.23,2.20379
7.24,2.2632
7.25,2.25628
7.26,2.16851
7.27,2.27814
7.28,2.23745
7.29,2.14066
7.3,2.21019
7.31,2.2037
7.32,2.25453
7.33,2.21505
7.34,2.17936
7.35,2.15381
7.36,2.17311
7.37,2.22732
7.38,2.17466
7.39,2.18087
7.4,2.18761
7.41,2.14993
7.42,2.18136
7.43,2.19748
7.44,2.26701
7.45,2.22202
7.46,2.27979
7.47,2.27322
7.48,2.20127
7.49,2.18643
7.5,2.25239
7.51,2.24607
7.52,2.18835
7.53,2.2409
7.54,2.25234
7.55,2.17993
7.56,2.26401
7.57,2.24476
7.58,2.2607
7.59,2.15125
7.6,2.15097
7.61,2.18423
7.62,2.14438
7.63,2.12135
7.64,2.21208
7.65,2.146
7.66,2.17958
7.67,2.18384
7.68,2.15324
7.69,2.17223
7.7,2.18161
7.71,2.15327
7.72,2.16594
7.73,2.13859
7.74,2.10598
7.75,2.08615
7.76,2.08464
7.77,2.12438
7.78,2.13955
7.79,2.15225
7.8,2.22143
7.81,2.16474
7.82,2.17291
7.83,2.23831
7.84,2.16928
7.85,2.21905
7.86,2.18491
7.87,2.22542
7.88,2.17727
7.89,2.23876
7.9,2.34622
7.91,2.38332
7.92,2.35248
7.93,2.2851
7.94,2.27384
7.95,2.26781
7.96,2.29673
7.97,2.32886
7.98,2.3872
7.99,2.34926
8,2.36023
8.01,2.36614
8.02,2.38416
8.03,2.36627
8.04,2.21293
8.05,2.32061
8.06,2.39473
8.07,2.50476
8.08,2.43788
8.09,2.42784
8.1,2.49871
8.11,2.52769
8.12,2.52775
8.13,2.46869
8.14,2.50916
8.15,2.48613
8.16,2.37565
8.17,2.36406
