"Time (ns)","RMSD (Å)"
9.35,2.1565
9.36,2.26657
9.37,2.19336
9.38,2.1931
9.39,2.17808
9.4,2.18812
9.41,2.24008
9.42,2.27761
9.43,2.24123
9.44,2.24826
9.45,2.16181
9.46,2.17947
9.47,2.09003
9.48,2.04927
9.49,2.08429
9.5,2.20518
9.51,2.08993
9.52,2.19436
9.53,2.14904
9.54,2.06857
9.55,2.05108
9.56,2.0376
9.57,2.0968
9.58,2.11766
9.59,2.21251
9.6,2.22481
9.61,2.27552
9.62,2.25772
9.63,2.30253
9.64,2.32125
9.65,2.25829
9.66,2.14827
9.67,2.36625
9.68,2.38786
9.69,2.35413
9.7,2.40263
9.71,2.47046
9.72,2.50965
9.73,2.43509
9.74,2.44838
9.75,2.36667
9.76,2.44491
9.77,2.27491
9.78,2.39018
9.79,2.37509
9.8,2.42341
9.81,2.42147
9.82,2.36525
9.83,2.33259
9.84,2.28545
9.85,2.39206
9.86,2.28526
9.87,2.25378
9.88,2.28499
9.89,2.20594
9.9,2.18865
9.91,2.28028
9.92,2.31247
9.93,2.17224
9.94,2.41638
9.95,2.36941
9.96,2.48166
9.97,2.36563
9.98,2.41394
9.99,2.35296
10,2.57317
10.01,2.37446
10.02,2.56142
10.03,2.5318
10.04,2.61773
10.05,2.56474
10.06,2.49662
10.07,2.40216
10.08,2.46086
10.09,2.41268
10.1,2.34304
10.11,2.39803
10.12,2.417
10.13,2.48282
10.14,2.5233
10.15,2.50133
10.16,2.5561
10.17,2.55158
10.18,2.45428
10.19,2.33431
10.2,2.34683
10.21,2.32626
10.22,2.43522
10.23,2.45401
10.24,2.46264
10.25,2.41633
10.26,2.3765
10.27,2.41284
10.28,2.44023
10.29,2.44089
10.3,2.33472
10.31,2.26636
10.32,2.39582
10.33,2.26511
10.34,2.3804
10.35,2.37761
10.36,2.53611
10.37,2.27834
10.38,2.22618
10.39,2.1561
10.4,2.10934
10.41,2.11228
10.42,2.21467
10.43,2.19713
10.44,2.21412
10.45,2.4411
10.46,2.35498
10.47,2.42348
10.48,2.37464
10.49,2.41101
10.5,2.3288
10.51,2.4157
10.52,2.3527
10.53,2.36515
10.54,2.47786
10.55,2.49704
10.56,2.44329
10.57,2.4114
10.58,2.4406
10.59,2.51665
10.6,2.48228
10.61,2.4416
10.62,2.52067
10.63,2.41071
10.64,2.42697
10.65,2.30731
10.66,2.35281
10.67,2.34874
10.68,2.309
10.69,2.29504
10.7,2.27183
10.71,2.36022
10.72,2.30708
10.73,2.23558
10.74,2.38547
10.75,2.43393
10.76,2.36964
10.77,2.32608
10.78,2.35333
10.79,2.3302
10.8,2.32243
10.81,2.30398
10.82,2.3538
10.83,2.30576
10.84,2.34606
10.85,2.30434
10.86,2.34719
10.87,2.36985
10.88,2.39787
10.89,2.33373
10.9,2.1975
10.91,2.28315
10.92,2.38114
10.93,2.42742
10.94,2.38649
10.95,2.34254
10.96,2.35483
10.97,2.42291
10.98,2.42614
10.99,2.39846
11,2.41367
11.01,2.38344
11.02,2.312
11.03,2.36529
11.04,2.44115
11.05,2.36834
11.06,2.36104
11.07,2.34777
11.08,2.38865
11.09,2.39854
11.1,2.41706
11.11,2.28893
11.12,2.31889
11.13,2.38252
11.14,2.39571
11.15,2.4027
11.16,2.2514
11.17,2.4007
11.18,2.321
11.19,2.43865
11.2,2.34616
