Time (ns),RMSD (Å),RMSD (Å),RMSD (Å),Variance,Average,Standard deviation 
2.27,1.73705,1.82953,1.82953,0.001900567,1.798703333,0.04359549
2.28,1.77023,1.80755,1.80755,0.000309507,1.79511,0.017592817
2.29,1.70369,1.79279,1.79279,0.00176418,1.76309,0.042002143
2.3,1.74752,1.70915,1.70915,0.000327168,1.72194,0.018087791
2.31,1.79663,1.82963,1.82963,0.000242,1.81863,0.015556349
2.32,1.75609,1.76771,1.76771,3.00E-05,1.763836667,0.005477721
2.33,1.72708,1.95045,1.95045,0.01108759,1.875993333,0.105297628
2.34,1.75897,1.81436,1.81436,0.000681789,1.795896667,0.026111096
2.35,1.64561,1.76528,1.76528,0.003182424,1.72539,0.056412979
2.36,1.69024,1.80483,1.80483,0.002917971,1.766633333,0.054018244
2.37,1.65729,1.70966,1.70966,0.00060947,1.692203333,0.024687455
2.38,1.67468,1.76891,1.76891,0.001973176,1.7375,0.044420448
2.39,1.68033,1.77547,1.77547,0.002011471,1.743756667,0.044849426
2.4,1.83771,1.77524,1.77524,0.000867222,1.796063333,0.02944864
2.41,1.75868,1.79379,1.79379,0.000273936,1.782086667,0.016551013
2.42,1.8789,1.7073,1.7073,0.00654368,1.7645,0.080893016
2.43,1.81905,1.65265,1.65265,0.006153102,1.708116667,0.078441712
2.44,1.79294,1.77168,1.77168,0.000100442,1.778766667,0.01002206
2.45,1.84826,1.75816,1.75816,0.001804002,1.788193333,0.042473547
2.46,1.76517,1.78266,1.78266,6.80E-05,1.77683,0.008244865
2.47,1.76642,1.7671,1.7671,1.03E-07,1.766873333,0.000320555
2.48,1.78685,1.77148,1.77148,5.25E-05,1.776603333,0.007245487
2.49,1.76987,1.82164,1.82164,0.000595585,1.804383333,0.024404612
2.5,1.87999,1.86289,1.86289,6.50E-05,1.86859,0.008061017
2.51,1.87138,1.86909,1.86909,1.17E-06,1.869853333,0.001079516
2.52,1.7662,1.88187,1.88187,0.002973233,1.843313333,0.054527361
2.53,1.8961,1.78496,1.78496,0.002744911,1.822006667,0.052391898
2.54,1.90627,1.75249,1.75249,0.005255175,1.80375,0.072492587
2.55,1.83146,1.74307,1.74307,0.001736176,1.772533333,0.041667446
2.56,1.82381,1.78323,1.78323,0.000365941,1.796756667,0.019129595
2.57,1.78004,1.80075,1.80075,9.53E-05,1.793846667,0.009762788
2.58,1.60962,1.7495,1.7495,0.004348092,1.702873333,0.065940064
2.59,1.65427,1.7292,1.7292,0.001247668,1.704223333,0.035322341
2.6,1.6519,1.67864,1.67864,0.000158895,1.669726667,0.012605357
2.61,1.64028,1.58085,1.58085,0.000784872,1.60066,0.028015571
2.62,1.57161,1.62722,1.62722,0.000687216,1.608683333,0.026214805
2.63,1.68059,1.63685,1.63685,0.000425153,1.65143,0.020619234
2.64,1.6376,1.71208,1.71208,0.001232727,1.687253333,0.035110209
2.65,1.73235,1.69167,1.69167,0.000367747,1.70523,0.019176736
2.66,1.7477,1.74101,1.74101,9.95E-06,1.74324,0.003153696
2.67,1.86256,1.6748,1.6748,0.007834182,1.737386667,0.088510913
2.68,1.85603,1.71932,1.71932,0.00415325,1.76489,0.064445712
2.69,1.93032,1.78412,1.78412,0.004749876,1.832853333,0.068919341
2.7,1.89743,1.81996,1.81996,0.001333689,1.845783333,0.036519708
2.71,1.8022,1.76218,1.76218,0.000355911,1.77552,0.018865609
2.72,1.85328,1.79906,1.79906,0.000653291,1.817133333,0.025559553
2.73,1.72771,1.76523,1.76523,0.000312833,1.752723333,0.017687098
2.74,1.81517,1.83275,1.83275,6.87E-05,1.82689,0.008287291
2.75,1.77106,1.78557,1.78557,4.68E-05,1.780733333,0.00684008
2.76,1.72704,1.76486,1.76486,0.000317856,1.752253333,0.017828519
2.77,1.64419,1.84584,1.84584,0.009036161,1.778623333,0.095058722
2.78,1.74972,1.76675,1.76675,6.44E-05,1.761073333,0.008028019
2.79,1.69605,1.86466,1.86466,0.006317629,1.808456667,0.079483516
2.8,1.62905,1.84784,1.84784,0.01063757,1.77491,0.103138595
2.81,1.60556,1.79986,1.79986,0.008389442,1.735093333,0.091593898
2.82,1.63218,1.89708,1.89708,0.01559378,1.80878,0.124875058
2.83,1.62688,1.85377,1.85377,0.011439794,1.77814,0.106956972
2.84,1.61161,1.80689,1.80689,0.008474284,1.741796667,0.092055875
2.85,1.60307,1.78325,1.78325,0.007214407,1.72319,0.084937667
2.86,1.70468,1.74918,1.74918,0.000440056,1.734346667,0.020977501
2.87,1.70889,1.84309,1.84309,0.004002142,1.798356667,0.063262487
2.88,1.75913,1.71789,1.71789,0.000377942,1.731636667,0.019440722
2.89,1.76407,1.79297,1.79297,0.000185602,1.783336667,0.013623591
2.9,1.91189,1.81382,1.81382,0.002137272,1.84651,0.046230641
2.91,1.80077,1.75047,1.75047,0.000562242,1.767236667,0.023711647
2.92,1.82533,1.80963,1.80963,5.48E-05,1.814863333,0.007401051
2.93,1.72108,1.83136,1.83136,0.002702595,1.7946,0.051986491
2.94,1.84505,1.82209,1.82209,0.000117147,1.829743333,0.010823448
2.95,2.06512,1.83098,1.83098,0.012182564,1.909026667,0.110374654
2.96,1.89622,1.81653,1.81653,0.001411221,1.843093333,0.037566226
2.97,1.90593,1.72252,1.72252,0.007475384,1.783656667,0.086460303
2.98,1.96217,1.71517,1.71517,0.013557556,1.797503333,0.116436917
2.99,1.94295,1.70147,1.70147,0.012958353,1.781963333,0.113834764
3,1.93704,1.75814,1.75814,0.007112269,1.817773333,0.084334269
3.01,1.95694,1.71341,1.71341,0.013179302,1.794586667,0.114801143
3.02,2.01179,1.75925,1.75925,0.014172545,1.84343,0.119048498
3.03,2.0096,1.74289,1.74289,0.015807605,1.831793333,0.1257283
3.04,2.05173,1.77856,1.77856,0.016582633,1.869616667,0.128773573
3.05,2.07441,1.65593,1.65593,0.03891678,1.795423333,0.197273364
3.06,1.97713,1.71886,1.71886,0.014822976,1.80495,0.121749646
3.07,1.84041,1.70633,1.70633,0.003994988,1.751023333,0.063205918
3.08,1.88454,1.72057,1.72057,0.005974702,1.775226667,0.077296199
3.09,1.89386,1.69675,1.69675,0.008633856,1.762453333,0.092918545
3.1,1.84838,1.7431,1.7431,0.002463084,1.778193333,0.049629468
3.11,1.98033,1.73837,1.73837,0.01300992,1.819023333,0.114061038
3.12,2.06695,1.78732,1.78732,0.017376208,1.88053,0.131818846
3.13,2.05316,1.77704,1.77704,0.016942723,1.86908,0.130164216
3.14,2.05409,1.78288,1.78288,0.016345525,1.873283333,0.12784962
3.15,1.96125,1.72423,1.72423,0.012484107,1.803236667,0.1117323
3.16,2.00925,1.82821,1.82821,0.00728344,1.888556667,0.085343074
3.17,2.03269,1.80637,1.80637,0.011382387,1.88181,0.106688271
3.18,2.01372,1.78068,1.78068,0.012068365,1.85836,0.10985611
3.19,2.08077,1.78204,1.78204,0.019831025,1.881616667,0.140822672
3.2,2.11716,1.72244,1.72244,0.034623084,1.854013333,0.186072792
3.21,2.11691,1.82241,1.82241,0.019273389,1.920576667,0.138828631
3.22,2.05791,1.82072,1.82072,0.012502021,1.899783333,0.111812438
3.23,2.12174,1.8344,1.8344,0.018347617,1.93018,0.135453375
3.24,2.0538,1.8208,1.8208,0.012064222,1.898466667,0.109837253
3.25,2.02068,1.79245,1.79245,0.011575318,1.868526667,0.107588654
3.26,1.97098,1.7411,1.7411,0.011743292,1.817726667,0.108366471
3.27,2.02638,1.74771,1.74771,0.017257104,1.8406,0.131366298
3.28,2.0089,1.78349,1.78349,0.011291037,1.858626667,0.106259293
3.29,2.00301,1.8238,1.8238,0.007136939,1.883536667,0.084480404
3.3,1.97376,1.84314,1.84314,0.003791463,1.88668,0.061574859
3.31,1.93504,1.90934,1.90934,0.000146776,1.917906667,0.012115096
3.32,1.90156,1.81405,1.81405,0.001701778,1.84322,0.04125261
3.33,2.00574,1.84685,1.84685,0.005610229,1.899813333,0.074901464
3.34,1.99984,1.80266,1.80266,0.008639989,1.868386667,0.092951543
3.35,1.96484,1.73726,1.73726,0.011509479,1.81312,0.107282241
3.36,1.9475,1.71294,1.71294,0.01222631,1.791126667,0.110572644
3.37,1.95959,1.67702,1.67702,0.017743512,1.77121,0.133204775
3.38,1.95348,1.69821,1.69821,0.014480616,1.7833,0.120335432
3.39,2.02332,1.57685,1.57685,0.044296769,1.725673333,0.210467976
3.4,1.97666,1.57653,1.57653,0.03557867,1.709906667,0.188623091
3.41,1.99225,1.61563,1.61563,0.031520583,1.74117,0.177540371
3.42,1.90232,1.70017,1.70017,0.009081027,1.767553333,0.095294424
3.43,2.14559,1.6885,1.6885,0.046429171,1.840863333,0.215474292
3.44,2.06558,1.66507,1.66507,0.03564628,1.798573333,0.188802225
3.45,2.06988,1.46459,1.46459,0.081416885,1.666353333,0.285336442
3.46,2.1567,1.59747,1.59747,0.069497376,1.78388,0.26362355
3.47,2.07192,1.57447,1.57447,0.054990334,1.740286667,0.234500179
3.48,1.96543,1.6519,1.6519,0.02184468,1.75641,0.147799459
3.49,1.96321,1.61158,1.61158,0.027476368,1.72879,0.165759972
3.5,1.99132,1.65374,1.65374,0.025324501,1.766266667,0.159136738
3.51,1.99302,1.6468,1.6468,0.026637397,1.762206667,0.163209673
3.52,1.97187,1.67529,1.67529,0.019546599,1.77415,0.139809153
3.53,1.89603,1.6632,1.6632,0.012046624,1.74081,0.109757115
3.54,1.95576,1.74393,1.74393,0.009971544,1.81454,0.09985762
3.55,2.01756,1.76364,1.76364,0.014327859,1.84828,0.119699036
3.56,1.89157,1.81116,1.81116,0.001436837,1.837963333,0.037905638
3.57,1.95077,1.82068,1.82068,0.003760757,1.864043333,0.061325014
3.58,2.01842,1.79233,1.79233,0.011359264,1.867693333,0.106579848
3.59,2.11806,1.92922,1.92922,0.007924566,1.992166667,0.08902003
3.6,2.14801,1.83515,1.83515,0.021751418,1.939436667,0.147483618
3.61,2.16312,1.83879,1.83879,0.023375544,1.9469,0.152890628
3.62,2.11712,1.81881,1.81881,0.019775301,1.918246667,0.140624683
3.63,2.10741,1.89145,1.89145,0.01036416,1.963436667,0.10180452
3.64,2.16285,1.83329,1.83329,0.02413551,1.943143333,0.155356074
3.65,2.0335,1.87806,1.87806,0.005369243,1.929873333,0.073275119
3.66,2.14855,1.82237,1.82237,0.023642976,1.931096667,0.153762727
3.67,2.0995,1.94065,1.94065,0.005607405,1.9936,0.074882608
3.68,1.94581,1.89209,1.89209,0.000641297,1.909996667,0.025323851
3.69,1.96528,1.88581,1.88581,0.00140344,1.9123,0.037462517
3.7,1.94483,2.04299,2.04299,0.002141197,2.01027,0.046273068
3.71,2.02437,1.83191,1.83191,0.0082313,1.896063333,0.090726514
3.72,1.98264,1.93677,1.93677,0.000467568,1.95206,0.021623325
3.73,1.89819,1.82641,1.82641,0.001144971,1.850336667,0.033837417
3.74,1.83123,1.81657,1.81657,4.78E-05,1.821456667,0.00691079
3.75,1.94664,1.83839,1.83839,0.002604014,1.874473333,0.051029539
3.76,1.99333,1.84933,1.84933,0.004608,1.89733,0.067882251
3.77,1.93936,1.88722,1.88722,0.000604129,1.9046,0.024579032
