"Time (ns)","RMSD (Å)"
11.29,2.12307
11.3,1.98132
11.31,2.02499
11.32,1.996
11.33,2.09362
11.34,2.13307
11.35,2.13857
11.36,2.07695
11.37,2.09502
11.38,2.04705
11.39,2.12311
11.4,2.17072
11.41,2.14246
11.42,2.08486
11.43,2.13349
11.44,2.09527
11.45,2.02791
11.46,1.95378
11.47,2.01766
11.48,2.06377
11.49,1.98603
11.5,2.0033
11.51,2.05887
11.52,2.15162
11.53,2.15792
11.54,2.01379
11.55,2.01692
11.56,1.99251
11.57,2.11271
11.58,2.07677
11.59,2.044
11.6,2.05532
11.61,2.1403
11.62,2.03379
11.63,2.0659
11.64,2.14785
11.65,2.01803
11.66,2.08648
11.67,2.04948
11.68,1.936
11.69,1.99246
11.7,2.02115
11.71,2.02696
11.72,1.97281
11.73,2.00008
11.74,2.02449
11.75,2.05602
11.76,2.0304
11.77,2.05765
11.78,2.1291
11.79,2.14537
11.8,2.17101
11.81,2.17432
11.82,2.30223
11.83,2.22425
11.84,2.20117
11.85,2.26086
11.86,2.2881
11.87,2.14438
11.88,2.13086
11.89,2.11909
11.9,2.16084
11.91,2.07985
11.92,2.13646
11.93,2.11944
11.94,2.05568
11.95,2.11301
11.96,2.18096
11.97,2.25262
11.98,2.24666
11.99,2.21385
12,2.17381
12.01,2.23404
12.02,2.22444
12.03,2.15939
12.04,2.11303
12.05,2.02456
12.06,2.03202
12.07,2.08547
12.08,2.08526
12.09,2.11398
12.1,2.08722
12.11,2.11139
12.12,2.21776
12.13,2.31375
12.14,2.26744
12.15,2.25618
12.16,2.26869
12.17,2.05612
12.18,2.1397
12.19,2.22343
12.2,2.27948
12.21,2.24878
12.22,2.37961
12.23,2.25818
12.24,2.2479
12.25,2.0995
12.26,2.11473
12.27,2.17038
12.28,2.22765
12.29,2.1515
12.3,2.11389
12.31,1.98887
12.32,2.0192
12.33,2.01496
12.34,1.99148
12.35,2.0601
12.36,1.92498
12.37,1.93597
12.38,1.99624
12.39,1.94779
12.4,1.98328
12.41,1.96326
12.42,1.92977
12.43,1.97072
12.44,1.92169
12.45,1.98144
12.46,1.98798
12.47,1.98762
12.48,2.08229
12.49,1.99286
12.5,2.01326
12.51,1.94765
12.52,1.99609
12.53,2.0644
12.54,2.04884
12.55,2.06371
12.56,2.13359
12.57,2.10197
12.58,2.02604
12.59,2.065
12.6,1.98096
12.61,2.06106
12.62,2.1335
12.63,2.09405
12.64,2.03143
12.65,2.11773
12.66,2.07968
12.67,2.1436
12.68,2.13337
12.69,2.19801
12.7,2.14515
12.71,2.18085
12.72,2.17094
12.73,2.13605
12.74,2.15566
12.75,2.22471
12.76,2.21142
12.77,2.16336
12.78,2.18164
12.79,2.09283
12.8,2.02044
12.81,1.98921
12.82,2.01175
12.83,2.08773
12.84,2.08724
12.85,2.00256
12.86,2.02766
12.87,2.01712
12.88,1.96023
12.89,1.98327
12.9,1.88143
12.91,1.97399
12.92,1.98833
12.93,2.03316
12.94,2.03938
12.95,2.01493
12.96,1.91402
12.97,2.03238
12.98,2.05104
12.99,2.012
13,1.96131
13.01,1.93702
13.02,2.01633
13.03,2.00975
13.04,1.9562
13.05,1.91808
13.06,1.94009
13.07,1.91078
13.08,1.95683
13.09,1.97937
13.1,1.92904
13.11,1.87386
13.12,1.96397
13.13,2.02506
13.14,2.05541
13.15,2.11011
13.16,2.12146
13.17,2.1693
13.18,2.05351
13.19,2.13274
13.2,2.0934
13.21,2.04522
13.22,2.02421
13.23,1.9762
13.24,2.00652
13.25,1.97965
13.26,2.11619
13.27,2.1683
13.28,2.18846
13.29,2.21317
13.3,2.34253
13.31,2.2019
13.32,2.16839
13.33,2.06685
13.34,2.17329
13.35,2.23866
13.36,2.24518
13.37,2.25277
13.38,2.09873
13.39,2.11272
13.4,2.08215
13.41,1.94803
13.42,1.96875
13.43,2.12242
13.44,2.23073
13.45,2.1297
13.46,2.13369
13.47,2.14464
13.48,2.04537
13.49,2.11845
13.5,2.14237
13.51,2.10536
13.52,2.12343
13.53,2.21314
13.54,2.24753
13.55,2.0382
13.56,2.08214
13.57,2.05099
13.58,2.03673
13.59,2.05372
13.6,2.11833
13.61,2.07843
13.62,2.11076
13.63,2.12766
13.64,2.04016
13.65,2.18503
13.66,2.14004
13.67,2.14363
13.68,2.06544
13.69,1.98462
13.7,2.09902
13.71,2.04602
13.72,2.04642
13.73,2.06279
13.74,2.02265
13.75,1.99944
13.76,2.03443
13.77,1.98987
13.78,2.04852
13.79,2.04589
13.8,2.09074
13.81,2.00778
13.82,2.13315
13.83,2.074
13.84,2.03081
13.85,2.02026
13.86,2.16254
13.87,2.13134
13.88,2.20874
13.89,2.12317
13.9,2.10116
13.91,2.17234
13.92,2.19954
13.93,2.21526
13.94,2.24626
13.95,2.23626
13.96,2.18142
13.97,2.23642
13.98,2.1805
13.99,2.08728
14,2.1522
14.01,2.05423
14.02,2.1059
14.03,2.0641
14.04,2.00401
14.05,2.03402
14.06,2.00978
14.07,1.95169
14.08,2.00031
14.09,2.07828
14.1,2.00432
14.11,2.10818
14.12,2.12993
14.13,2.15844
14.14,2.05283
14.15,2.08722
14.16,1.98647
14.17,2.00909
14.18,2.01731
14.19,2.02544
14.2,1.98316
14.21,1.90283
14.22,1.89747
14.23,1.92132
14.24,1.91547
14.25,2.10214
14.26,2.12427
14.27,2.08414
14.28,1.97553
14.29,2.04787
14.3,2.23447
14.31,2.19869
14.32,2.01652
14.33,1.99435
14.34,1.96685
14.35,1.97312
14.36,1.8982
14.37,1.97801
14.38,1.97015
14.39,1.94123
14.4,2.01316
14.41,1.94044
14.42,2.00011
14.43,2.10057
14.44,1.93914
14.45,2.06976
14.46,2.03547
14.47,1.95582
14.48,1.96745
14.49,1.94596
14.5,1.99746
14.51,1.98162
14.52,1.91641
14.53,1.9695
14.54,2.02959
14.55,2.06473
14.56,2.08799
14.57,2.1138
14.58,2.12869
14.59,2.16567
14.6,2.1329
14.61,2.12302
14.62,2.0911
14.63,2.05879
14.64,2.11437
14.65,2.0848
14.66,2.05932
14.67,2.10712
14.68,2.14485
14.69,2.0094
14.7,2.13699
14.71,2.04158
14.72,2.08322
14.73,2.13422
14.74,2.15427
14.75,2.15177
14.76,2.0155
14.77,2.07876
14.78,2.04272
14.79,2.06802
14.8,2.11235
14.81,1.99821
14.82,2.06705
14.83,2.18672
14.84,2.18842
14.85,2.21595
14.86,2.16779
14.87,2.20163
14.88,2.18937
14.89,2.22193
14.9,2.21136
14.91,2.14407
14.92,2.13424
14.93,2.13219
14.94,2.14786
14.95,2.0049
14.96,1.99498
14.97,2.04847
14.98,2.07237
14.99,2.12363
15,2.06295
15.01,2.10427
15.02,2.12109
15.03,2.14403
15.04,2.22281
15.05,2.25639
15.06,2.2409
15.07,2.28024
15.08,2.27038
15.09,2.33626
15.1,2.38856
15.11,2.09155
15.12,2.27343
15.13,2.19656
15.14,2.07477
15.15,2.11128
15.16,2.03746
15.17,2.07688
15.18,2.19032
15.19,2.17598
15.2,2.06769
15.21,2.13239
15.22,2.20532
15.23,2.06562
15.24,2.1106
15.25,2.04695
15.26,2.04048
15.27,2.08583
15.28,1.99051
15.29,2.11332
15.3,2.04849
15.31,2.13834
15.32,2.15929
15.33,2.0597
15.34,2.20316
15.35,2.15298
15.36,2.28732
15.37,2.23634
15.38,2.17882
15.39,2.08314
15.4,2.23424
15.41,2.27804
15.42,2.17525
15.43,2.1687
15.44,2.1931
15.45,2.15634
15.46,2.16467
15.47,2.2114
15.48,2.32261
15.49,2.13894
15.5,2.14405
15.51,2.05233
15.52,2.08793
15.53,2.1643
